V FUT 3 PL и з у м и т ь	и з у м я т	и з у м я т
N INS PL ш л ю з	ш л ю з а м и	ш л ю з а м и
V FUT 2 PL з а г а д ы в а т ь	б у д е т е з а г а д ы в а т ь	б у д е т е з а г а д ы в а т ь
ADJ INAN ACC MASC SG х о з я й с к и й	х о з я й с к и й	х о з я й с к и й
N ACC SG с е р д ц е б и е н и е	с е р д ц е б и е н и е	с е р д ц е б и е н и е
V.PTCP PASS PRS а г и т и р о в а т ь	а г и т и р у е м ы й	а г и т и р у е м ы й
N ACC SG а о р и с т	а о р и с т	а о р и с т а
V.CVB PST и с т р е б и т ь	и с т р е б и в	и с т р е б и в
V NFIN о ч а р о в ы в а т ь	о ч а р о в ы в а т ь	о ч а р о в ы в а т ь
V FUT 3 SG в ы с у ш и т ь с я	в ы с у ш и т с я	в ы с у ш и т с я
N ACC PL т е р в е р	т е р в е р ы	т е р в е р ы
ADJ ACC NEUT SG с а у д о в с к и й	с а у д о в с к о е	с а у д о в с к о е
N INS PL п и з д ю ш к а	п и з д ю ш к а м и	п и з д ю ш к а м и
ADJ ANIM ACC MASC SG д а ч н ы й	д а ч н о г о	д а ч н о г о
N INS SG с е р п у х о в ч а н и н	с е р п у х о в ч а н и н о м	с е р п у х о в ч а н и н о м
N GEN SG к л а в е с и н	к л а в е с и н а	к л а в е с и н а
V FUT 3 PL п о д в о р а ч и в а т ь с я	б у д у т п о д в о р а ч и в а т ь с я	б у д у т п о д в о р а ч и в а т ь с я
V FUT 3 SG э м а л и р о в а т ь	б у д е т э м а л и р о в а т ь	б у д е т э м а л и р о в а т ь
V PRS 2 SG о ч а р о в ы в а т ь	о ч а р о в ы в а е ш ь	о ч а р о в ы в а е ш ь
V PRS 1 PL д о п о л з а т ь	д о п о л з а е м	д о п о л з а е м
N DAT SG р а д о н	р а д о н у	р а д о н у
V IMP 2 PL м е т н у т ь с я	м е т н и т е с ь	м е т н и т е с ь
ADJ GEN MASC SG о б ы д е н н ы й	о б ы д е н н о г о	о б ы д е н н о г о
V FUT 1 SG в ы г р у з и т ь	в ы г р у ж у	в ы г р у з у
ADJ ESS PL н е р а з л и ч и м ы й	н е р а з л и ч и м ы х	н е р а з л и ч и м ы х
N ESS SG р е л е в а н т н о с т ь	р е л е в а н т н о с т и	р е л е в а н т н о с т и
ADJ INS NEUT SG п р а з д н ы й	п р а з д н ы м	п р а з д н ы м
N NOM PL п р я ж к а	п р я ж к и	п р я ж к и
V FUT 2 PL с ъ е д а т ь	б у д е т е с ъ е д а т ь	б у д е т е с ъ е д а т ь
V FUT 2 SG п р о в з а и м о д е й с т в о в а т ь	п р о в з а и м о д е й с т в у е ш ь	п р о в з а и м о д е й с т в у й с т в у
N DAT SG с р а л ь н я	с р а л ь н е	с р а л ь н е
N INS PL п л а н к а	п л а н к а м и	п л а н к а м и
N ESS PL ж и р т р е с т	ж и р т р е с т а х	ж и р т р е с т а х
N ESS SG п а р н и к о в ы й э ф ф е к т	п а р н и к о в о м э ф ф е к т е	п а р н и к о в ы х э ф е к т е
V FUT 3 SG п р е д п и с ы в а т ь	б у д е т п р е д п и с ы в а т ь	б у д е т п р е д п и с ы в а т ь
N GEN PL д е т ё н ы ш	д е т ё н ы ш е й	д е т ё н ы ш е й
V.PTCP PASS PST з а к л и н и т ь	з а к л и н е н н ы й	з а к л и н е н н ы й
V PRS 2 PL з а р о ж д а т ь	з а р о ж д а е т е	з а р о ж д а е т е
ADJ GEN NEUT SG г р о м о з д к и й	г р о м о з д к о г о	г р о м о з д к о г о
ADJ ANIM ACC MASC SG т р а н з и т о р н ы й	т р а н з и т о р н о г о	т р а н з и т о р н о г о
V PST PL п о д к л а д ы в а т ь	п о д к л а д ы в а л и	п о д к л а д ы в а л и
N DAT SG ф р у к т о з а	ф р у к т о з е	ф р у к т о з е
ADJ MASC SG LGSPEC1 р а з н у з д а н н ы й	р а з н у з д а н	р а з н у з д а н е н
N NOM PL п о п о й к а	п о п о й к и	п о п о й к и
ADJ ACC FEM SG и с т о р и ч е с к и й	и с т о р и ч е с к у ю	и с т о р и ч е с к у ю
ADJ ACC INAN PL п и т а т е л ь н ы й	п и т а т е л ь н ы е	п и т а т е л ь н ы е
ADJ DAT PL в о к з а л ь н ы й	в о к з а л ь н ы м	в о к з а л ь н ы м
N DAT PL т ю р о к	т ю р к а м	т ю р к а м
V FUT 3 PL и с к у п и т ь	и с к у п я т	и с к у п я т
V FUT 2 PL с в е р ш и т ь с я	с в е р ш и т е с ь	с в е р ш и т е с ь
V.PTCP FEM SG LGSPEC1 у м ы ш л е н н ы й	у м ы ш л е н а	у м ы ш л е н н а
ADJ ACC NEUT SG б е с к р о в н ы й	б е с к р о в н о е	б е с к р о в н о е
V PST PL д о р в а т ь	д о р в а л и	д о р в а л и
N INS SG б у л е в о м н о ж е с т в о	б у л е в ы м м н о ж е с т в о м	б у л е в о м н о ж е с т в о м
N GEN PL к р е м л е б о т	к р е м л е б о т о в	к р е м л е б о т о в
V PRS 3 SG т е с н и т ь	т е с н и т	т е с н и т
